,SchoolID,total_score,Latitude,Longitude
172,01DTV0012Z,23.29934584318664,22.041667,-102.110833
173,01DTV0013Z,34.20195939928135,22.287222,-102.041944
174,01DTV0014Y,6.397223672491631,22.024722,-102.671944
175,01DTV0015X,67.21538036301096,21.776944,-102.806944
176,01DTV0016W,77.36402444642364,21.806389,-102.839444
177,01DTV0018U,23.7538773379196,21.973611,-102.316944
178,01DTV0019T,52.21430545744909,21.940437,-102.297136
179,01DTV0020I,69.11028531064771,22.021111,-102.315
180,01DTV0021H,29.24971591781579,22.106038,-102.297945
181,01DTV0022G,72.37185590123154,22.119722,-102.3375
182,01DTV0023F,67.9017843432327,22.143333,-102.329444
183,01DTV0025D,9.337858173889009,22.170833,-102.225556
184,01DTV0026C,19.69994779030128,22.2975,-102.191389
185,01DTV0029Z,83.25604250483707,21.730614,-102.162705
186,01DTV0030P,57.862166395380974,21.674167,-102.301389
187,01DTV0032N,13.847854795614383,21.8725,-102.3425
188,01DTV0033M,37.2331930837505,22.015278,-102.145833
189,01DTV0034L,54.59445348730076,21.891389,-102.340278
190,01DTV0035K,23.16728601701422,22.046389,-102.013611
191,01DTV0036J,39.88974540093977,21.847778,-102.535556
192,01DTV0038H,36.162126470317254,22.245604,-102.332568
194,01DTV0039G,79.75645711126808,22.409444,-102.286111
195,01DTV0040W,57.14658640705138,22.160833,-102.470833
196,01DTV0041V,41.03682319339087,22.035278,-102.300278
197,01DTV0042U,67.03264641749332,22.162778,-102.1875
198,01DTV0043T,78.57098983446454,22.323333,-102.291944
199,01DTV0045R,34.05147262061976,21.889444,-102.215556
200,01DTV0046Q,71.50425355486625,21.943333,-102.539722
201,01DTV0047P,83.0901999324345,22.110278,-102.010556
202,01DTV0048O,28.268480697767263,22.162778,-102.094722
203,01DTV0049N,29.77334848438316,21.800833,-102.274444
204,01DTV0050C,79.30806793403151,21.716389,-102.411944
205,01DTV0051B,58.45490003378275,21.911944,-102.128611
206,01DTV0052A,74.325112865084,21.87,-102.038333
207,01DTV0053Z,26.47645956819508,22.134722,-102.206944
208,01DTV0054Z,23.240993826970914,22.102778,-102.181944
209,01DTV0056X,17.347440189183377,22.235556,-102.356111
210,01DTV0057W,21.49043334049937,21.782222,-102.236389
211,01DTV0060J,57.875986609747855,21.775833,-102.293889
212,01DTV0061I,38.42940941617272,21.9175,-102.701389
213,01DTV0062H,86.84315592272965,21.832767,-102.370332
214,01DTV0065E,74.68904517674518,22.182778,-102.245556
215,01DTV0066D,38.29734959000031,21.997778,-102.326944
216,01DTV0067C,43.15745830902,21.92219,-102.336733
217,01DTV0068B,39.32465219127177,22.261111,-102.369444
218,01DTV0069A,63.61444673075151,22.267778,-102.031389
219,01DTV0070Q,15.893246521912715,21.964444,-101.952222
220,01DTV0071P,34.327876907957375,22.296111,-102.063333
221,01DTV0072O,73.76923313166057,21.988889,-101.879167
222,01DTV0073N,62.89733116304782,21.874167,-102.7025
223,01DTV0074M,60.36823193390866,22.387222,-102.323611
224,01DTV0075L,67.19848898989589,22.432222,-102.3075
225,01DTV0076K,36.5928564847517,21.810556,-102.078889
226,01DTV0077J,54.29655108872578,21.809444,-102.128056
227,01DTV0078I,49.484045330303125,21.978333,-102.063611
228,01DTV0079H,18.36399373483616,21.901944,-102.415
229,01DTV0080X,57.02681121587175,21.921944,-102.386111
230,01DTV0081W,84.14514296243973,22.109444,-102.242222
231,01DTV0082V,19.69994779030128,22.086944,-102.340833
232,01DTV0083U,22.27050766254108,22.285833,-102.250833
233,01DTV0084T,46.98872884739412,22.065833,-102.176111
234,01DTV0085S,56.157673290132365,22.002222,-102.243333
235,01DTV0086R,3.931083197690489,22.315,-102.167778
236,01DTV0087Q,90.68363993734836,21.805,-102.721667
237,01DTV0088P,21.76223088971469,21.775556,-102.787778
238,01DTV0089O,30.07278646233224,21.820278,-102.771111
239,01DTV0090D,17.347440189183377,21.853889,-102.748889
240,01DTV0091C,80.98492061054635,21.846944,-102.718611
241,01DTV0093A,66.16043733300575,22.061111,-102.198056
242,01DTV0095Z,76.6684069899573,21.799444,-102.208889
243,01DTV0096Y,49.39805288535364,21.838889,-102.222222
244,01DTV0097X,98.6471545714198,21.778611,-102.105
245,01DTV0098W,27.04923067473357,21.861389,-102.208889
246,01DTV0099V,26.05571081969227,21.836731,-102.19603
247,01DTV0100U,33.424956235987835,21.766667,-102.136111
248,01DTV0101T,99.88022480882036,21.780833,-102.165556
249,01DTV0102S,41.89828322225976,22.037222,-101.959167
250,01DTV0103R,72.37185590123154,21.916944,-102.206667
251,01DTV0104Q,10.273026012714595,21.781111,-102.518056
252,01DTV0105P,43.06685912594822,21.883889,-102.365833
253,01DTV0106O,46.42363563772612,21.732222,-102.453611
254,01DTV0107N,33.7382144283038,21.82739,-102.293707
255,01DTV0108M,22.245938392555512,21.751667,-102.268889
256,01DTV0110A,28.079604434753232,22.214722,-102.051667
257,01DTV0111Z,59.635760572464,21.788056,-102.071389
258,01DTV0112Z,36.635852707226434,22.146111,-102.025833
259,01DTV0113Y,86.4469764442124,22.037778,-102.078889
260,01DTV0114X,32.31933908663739,22.123889,-102.061667
261,01DTV0115W,42.71521144927981,22.045833,-101.921667
262,01DTV0117U,27.83851847301987,22.133611,-102.108889
263,01DTV0118T,34.14360738306563,22.14,-102.137778
